model,epochs_available,final_train_accuracy,final_val_accuracy,mean_val_accuracy,best_val_accuracy,best_val_accuracy_epoch,final_train_loss,final_val_loss,mean_val_loss,best_val_loss,best_val_loss_epoch,report_accuracy,report_macro_f1,generalization_gap,reached_95_val_accuracy_epoch
VGG16,10,1.0,0.9800000190734863,0.9660000145435333,0.9900000095367432,6,0.0021432561334222555,0.03978470712900162,0.06640511713922023,0.03035188466310501,7,0.99,0.99,0.019999980926513672,2
ResNet50,10,0.8374999761581421,1.0,0.8910000026226044,1.0,5,0.596922755241394,0.5653550624847412,0.6197487115859985,0.5653550624847412,10,1.0,1.0,-0.1625000238418579,5
MobileNetV2,10,0.8849999904632568,0.9900000095367432,0.8689999938011169,1.0,9,0.42007994651794434,0.35315218567848206,0.45304591953754425,0.35315218567848206,10,0.98,0.98,-0.10500001907348633,9
